epoch,learning_rate,train_loss,train_accuracy,train_balanced_accuracy,train_precision,train_recall,train_specificity,train_f1,train_fnr,train_fpr,train_npv,train_tp,train_fp,train_tn,train_fn,train_loss_image,train_loss_hard_negative,train_loss_ranking,train_loss_auxiliary,train_skipped_updates,val_threshold,val_loss,val_accuracy,val_balanced_accuracy,val_precision,val_recall,val_specificity,val_f1,val_fnr,val_fpr,val_npv,val_tp,val_fp,val_tn,val_fn,val_recall_constraint_met,val_display_threshold,val_display_loss,val_display_accuracy,val_display_balanced_accuracy,val_display_precision,val_display_recall,val_display_specificity,val_display_f1,val_display_fnr,val_display_fpr,val_display_npv,val_display_tp,val_display_fp,val_display_tn,val_display_fn
21,4.280926002304516e-05,0.19092109918793373,0.9995826377295493,0.9995826377295493,0.9991659716430359,1.0,0.9991652754590985,0.9995828118481436,0.0,0.0008347245409015025,1.0,1198,1,1197,0,0.005367510179322033,0.00040731415381784923,0.0,0.3706998639990372,0,0.14,0.37667724553991405,0.859,0.859,0.8293577981651377,0.904,0.814,0.8650717703349282,0.096,0.186,0.8945054945054945,452,93,407,48,True,0.2,0.37667724553991405,0.879,0.879,0.8812877263581489,0.876,0.882,0.8786359077231695,0.124,0.118,0.8767395626242545,438,59,441,62
22,3.475606997047306e-05,0.19415990913750134,0.9987479131886478,0.9987479131886478,0.9983319432860718,0.9991652754590985,0.998330550918197,0.9987484355444306,0.0008347245409015025,0.001669449081803005,0.9991645781119465,1197,2,1196,1,0.006426280074036107,0.0005661557752956622,0.0,0.37490110201310234,0,0.16,0.36626828275415824,0.877,0.877,0.8604206500956023,0.9,0.854,0.8797653958944281,0.1,0.146,0.8951781970649895,450,73,427,50,True,0.2,0.36626828275415824,0.886,0.886,0.8906882591093117,0.88,0.892,0.8853118712273642,0.12,0.108,0.8814229249011858,440,54,446,60
23,2.7428662277737987e-05,0.19560462992657007,0.9991652754590985,0.9991652754590985,0.9983333333333333,1.0,0.998330550918197,0.9991659716430359,0.0,0.001669449081803005,1.0,1198,2,1196,0,0.006814525879372241,0.0005212835057985305,0.0,0.3770589233439832,0,0.18,0.36491408385609503,0.88,0.88,0.8625954198473282,0.904,0.856,0.8828125000000001,0.096,0.144,0.8991596638655462,452,72,428,48,True,0.2,0.36491408385609503,0.88,0.88,0.87109375,0.892,0.868,0.8814229249011858,0.108,0.132,0.889344262295082,446,66,434,54
24,2.090731755688021e-05,0.19012575794340972,0.9987479131886478,0.9987479131886478,0.9975020815986678,1.0,0.9974958263772955,0.9987494789495623,0.0,0.0025041736227045075,1.0,1198,3,1195,0,0.005916062388755692,0.0008568327678818386,0.0,0.3675625579982051,0,0.13,0.3978865746299784,0.865,0.865,0.839851024208566,0.902,0.828,0.8698167791706846,0.098,0.172,0.8941684665226782,451,86,414,49,True,0.2,0.3978865746299784,0.879,0.879,0.8972746331236897,0.856,0.902,0.8761514841351075,0.144,0.098,0.8623326959847036,428,49,451,72
25,1.5263485025340566e-05,0.19085536563834285,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1198,0,1198,0,0.005209159106404858,0.00045091707671874703,0.0,0.3708414958793054,0,0.19,0.3367542427098606,0.879,0.879,0.8623326959847036,0.902,0.856,0.8817204301075269,0.098,0.144,0.8972746331236897,451,72,428,49,True,0.2,0.3367542427098606,0.882,0.882,0.8701550387596899,0.898,0.866,0.8838582677165355,0.102,0.134,0.8946280991735537,449,67,433,51
26,1.0558999693382501e-05,0.19031301369651132,0.9995826377295493,0.9995826377295493,0.9991659716430359,1.0,0.9991652754590985,0.9995828118481436,0.0,0.0008347245409015025,1.0,1198,1,1197,0,0.005809614968133192,0.0014386742335900848,0.0,0.367568123071938,0,0.15,0.37137183046153366,0.869,0.869,0.8423005565862709,0.908,0.83,0.873917228103946,0.092,0.17,0.9002169197396963,454,85,415,46,True,0.2,0.37137183046153366,0.878,0.878,0.8810483870967742,0.874,0.882,0.8775100401606427,0.126,0.118,0.875,437,59,441,63
27,6.845404886779799e-06,0.19238289708088158,0.9995826377295493,0.9995826377295493,1.0,0.9991652754590985,1.0,0.9995824634655532,0.0008347245409015025,0.0,0.9991659716430359,1197,0,1198,1,0.007469676125589416,0.00022310337498461445,7.825542570951586e-05,0.3695642109804838,0,0.2,0.3362099139217884,0.879,0.879,0.8609523809523809,0.904,0.854,0.8819512195121951,0.096,0.146,0.8989473684210526,452,73,427,48,True,0.2,0.3362099139217884,0.879,0.879,0.8609523809523809,0.904,0.854,0.8819512195121951,0.096,0.146,0.8989473684210526,452,73,427,48
28,4.1633875273532364e-06,0.1855024258809814,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1198,0,1198,0,0.004178256821431505,0.00018434397269552263,0.0,0.3624639939485687,0,0.18,0.346221651729604,0.878,0.878,0.8606870229007634,0.902,0.854,0.880859375,0.098,0.146,0.8970588235294118,451,73,427,49,True,0.2,0.346221651729604,0.881,0.881,0.8713450292397661,0.894,0.868,0.8825271470878578,0.106,0.132,0.891170431211499,447,66,434,53
29,2.5423323585409335e-06,0.18756515315060623,0.9995826377295493,0.9995826377295493,0.9991659716430359,1.0,0.9991652754590985,0.9995828118481436,0.0,0.0008347245409015025,1.0,1198,1,1197,0,0.0037471955589241097,0.0004205446034780267,0.0,0.367215370097025,0,0.18,0.345539624225031,0.876,0.876,0.8574144486692015,0.902,0.85,0.8791423001949318,0.098,0.15,0.8966244725738397,451,75,425,49,True,0.2,0.345539624225031,0.878,0.878,0.8648648648648649,0.896,0.86,0.8801571709233792,0.104,0.14,0.8921161825726142,448,70,430,52
30,2.0000000000000003e-06,0.186349112422319,0.9995826377295493,0.9995826377295493,0.9991659716430359,1.0,0.9991652754590985,0.9995828118481436,0.0,0.0008347245409015025,1.0,1198,1,1197,0,0.004628811663604389,0.0002721500029242854,0.0,0.3631684528865878,0,0.17,0.358271315617496,0.876,0.876,0.8560606060606061,0.904,0.848,0.8793774319066149,0.096,0.152,0.8983050847457628,452,76,424,48,True,0.2,0.358271315617496,0.879,0.879,0.873767258382643,0.886,0.872,0.8798411122144986,0.114,0.128,0.8843813387423936,443,64,436,57
